"District","FIPS","Year","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2009-2010","Suspensions","Percent","14.4"
"Achievement First Bridgeport Academy District","","2010-2011","Suspensions","Percent","38.8"
"Achievement First Bridgeport Academy District","","2011-2012","Suspensions","Percent","31.9"
"Achievement First Bridgeport Academy District","","2012-2013","Suspensions","Percent","18.7"
"Achievement First Bridgeport Academy District","","2013-2014","Suspensions","Percent","29.6"
"Achievement First Bridgeport Academy District","","2014-2015","Suspensions","Percent","31.2"
"Achievement First Bridgeport Academy District","","2015-2016","Suspensions","Percent","23.6"
"Achievement First Bridgeport Academy District","","2016-2017","Suspensions","Percent","18.6"
"Achievement First Hartford Academy District","","2009-2010","Suspensions","Percent","31.1"
"Achievement First Hartford Academy District","","2010-2011","Suspensions","Percent","31.8"
"Achievement First Hartford Academy District","","2011-2012","Suspensions","Percent","38.2"
"Achievement First Hartford Academy District","","2012-2013","Suspensions","Percent","48.1"
"Achievement First Hartford Academy District","","2013-2014","Suspensions","Percent","29.9"
"Achievement First Hartford Academy District","","2014-2015","Suspensions","Percent","29.4"
"Achievement First Hartford Academy District","","2015-2016","Suspensions","Percent","23.8"
"Achievement First Hartford Academy District","","2016-2017","Suspensions","Percent","21.1"
"Amistad Academy District","","2009-2010","Suspensions","Percent","17.8"
"Amistad Academy District","","2010-2011","Suspensions","Percent","21.0"
"Amistad Academy District","","2011-2012","Suspensions","Percent","23.7"
"Amistad Academy District","","2012-2013","Suspensions","Percent","36.6"
"Amistad Academy District","","2013-2014","Suspensions","Percent","36.2"
"Amistad Academy District","","2014-2015","Suspensions","Percent","31.9"
"Amistad Academy District","","2015-2016","Suspensions","Percent","27.9"
"Amistad Academy District","","2016-2017","Suspensions","Percent","25.5"
"Andover School District","","2009-2010","Suspensions","Percent","-6666"
"Andover School District","","2010-2011","Suspensions","Percent","-9999"
"Andover School District","","2011-2012","Suspensions","Percent","-9999"
"Andover School District","","2012-2013","Suspensions","Percent","-9999"
"Andover School District","","2013-2014","Suspensions","Percent","-9999"
"Andover School District","","2014-2015","Suspensions","Percent","-9999"
"Andover School District","","2015-2016","Suspensions","Percent","-9999"
"Andover School District","","2016-2017","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2009-2010","Suspensions","Percent","10.1"
"Ansonia School District","900901220","2010-2011","Suspensions","Percent","9.7"
"Ansonia School District","900901220","2011-2012","Suspensions","Percent","9.3"
"Ansonia School District","900901220","2012-2013","Suspensions","Percent","9.1"
"Ansonia School District","900901220","2013-2014","Suspensions","Percent","8.3"
"Ansonia School District","900901220","2014-2015","Suspensions","Percent","7.1"
"Ansonia School District","900901220","2015-2016","Suspensions","Percent","8.2"
"Ansonia School District","900901220","2016-2017","Suspensions","Percent","11.6"
"Area Cooperative Educational Services","","2009-2010","Suspensions","Percent","19.8"
"Area Cooperative Educational Services","","2010-2011","Suspensions","Percent","16.4"
"Area Cooperative Educational Services","","2011-2012","Suspensions","Percent","15.2"
"Area Cooperative Educational Services","","2012-2013","Suspensions","Percent","14.3"
"Area Cooperative Educational Services","","2013-2014","Suspensions","Percent","13.6"
"Area Cooperative Educational Services","","2014-2015","Suspensions","Percent","13.0"
"Area Cooperative Educational Services","","2015-2016","Suspensions","Percent","12.8"
"Area Cooperative Educational Services","","2016-2017","Suspensions","Percent","14.3"
"Ashford School District","","2009-2010","Suspensions","Percent","1.9"
"Ashford School District","","2010-2011","Suspensions","Percent","2.5"
"Ashford School District","","2011-2012","Suspensions","Percent","2.5"
"Ashford School District","","2012-2013","Suspensions","Percent","3.9"
"Ashford School District","","2013-2014","Suspensions","Percent","2.3"
"Ashford School District","","2014-2015","Suspensions","Percent","4.8"
"Ashford School District","","2015-2016","Suspensions","Percent","3.5"
"Ashford School District","","2016-2017","Suspensions","Percent","-9999"
"Avon School District","900302060","2009-2010","Suspensions","Percent","2.4"
"Avon School District","900302060","2010-2011","Suspensions","Percent","1.5"
"Avon School District","900302060","2011-2012","Suspensions","Percent","1.8"
"Avon School District","900302060","2012-2013","Suspensions","Percent","2.3"
"Avon School District","900302060","2013-2014","Suspensions","Percent","2.1"
"Avon School District","900302060","2014-2015","Suspensions","Percent","1.7"
"Avon School District","900302060","2015-2016","Suspensions","Percent","1.8"
"Avon School District","900302060","2016-2017","Suspensions","Percent","1.8"
"Barkhamsted School District","","2009-2010","Suspensions","Percent","-9999"
"Barkhamsted School District","","2010-2011","Suspensions","Percent","-9999"
"Barkhamsted School District","","2011-2012","Suspensions","Percent","-9999"
"Barkhamsted School District","","2012-2013","Suspensions","Percent","-9999"
"Barkhamsted School District","","2013-2014","Suspensions","Percent","-9999"
"Barkhamsted School District","","2014-2015","Suspensions","Percent","-9999"
"Barkhamsted School District","","2015-2016","Suspensions","Percent","-6666"
"Barkhamsted School District","","2016-2017","Suspensions","Percent","-9999"
"Berlin School District","","2009-2010","Suspensions","Percent","6.8"
"Berlin School District","","2010-2011","Suspensions","Percent","6.8"
"Berlin School District","","2011-2012","Suspensions","Percent","5.4"
"Berlin School District","","2012-2013","Suspensions","Percent","3.7"
"Berlin School District","","2013-2014","Suspensions","Percent","3.6"
"Berlin School District","","2014-2015","Suspensions","Percent","3.4"
"Berlin School District","","2015-2016","Suspensions","Percent","3.1"
"Berlin School District","","2016-2017","Suspensions","Percent","2.8"
"Bethany School District","","2009-2010","Suspensions","Percent","-9999"
"Bethany School District","","2010-2011","Suspensions","Percent","1.2"
"Bethany School District","","2011-2012","Suspensions","Percent","-9999"
"Bethany School District","","2012-2013","Suspensions","Percent","-9999"
"Bethany School District","","2013-2014","Suspensions","Percent","-9999"
"Bethany School District","","2014-2015","Suspensions","Percent","-9999"
"Bethany School District","","2015-2016","Suspensions","Percent","-9999"
"Bethany School District","","2016-2017","Suspensions","Percent","-9999"
"Bethel School District","900104720","2009-2010","Suspensions","Percent","7.1"
"Bethel School District","900104720","2010-2011","Suspensions","Percent","6.0"
"Bethel School District","900104720","2011-2012","Suspensions","Percent","6.5"
"Bethel School District","900104720","2012-2013","Suspensions","Percent","7.2"
"Bethel School District","900104720","2013-2014","Suspensions","Percent","6.7"
"Bethel School District","900104720","2014-2015","Suspensions","Percent","7.2"
"Bethel School District","900104720","2015-2016","Suspensions","Percent","6.8"
"Bethel School District","900104720","2016-2017","Suspensions","Percent","7.4"
"Bloomfield School District","900305910","2009-2010","Suspensions","Percent","14.0"
"Bloomfield School District","900305910","2010-2011","Suspensions","Percent","12.4"
"Bloomfield School District","900305910","2011-2012","Suspensions","Percent","13.0"
"Bloomfield School District","900305910","2012-2013","Suspensions","Percent","12.5"
"Bloomfield School District","900305910","2013-2014","Suspensions","Percent","13.8"
"Bloomfield School District","900305910","2014-2015","Suspensions","Percent","11.0"
"Bloomfield School District","900305910","2015-2016","Suspensions","Percent","13.1"
"Bloomfield School District","900305910","2016-2017","Suspensions","Percent","11.2"
"Bolton School District","901306260","2009-2010","Suspensions","Percent","2.9"
"Bolton School District","901306260","2010-2011","Suspensions","Percent","3.4"
"Bolton School District","901306260","2011-2012","Suspensions","Percent","2.7"
"Bolton School District","901306260","2012-2013","Suspensions","Percent","3.0"
"Bolton School District","901306260","2013-2014","Suspensions","Percent","3.0"
"Bolton School District","901306260","2014-2015","Suspensions","Percent","4.7"
"Bolton School District","901306260","2015-2016","Suspensions","Percent","4.3"
"Bolton School District","901306260","2016-2017","Suspensions","Percent","2.9"
"Booker T Washington Academy District","","2009-2010","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2010-2011","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2011-2012","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2012-2013","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2013-2014","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2014-2015","Suspensions","Percent","14.1"
"Booker T Washington Academy District","","2015-2016","Suspensions","Percent","12.9"
"Booker T Washington Academy District","","2016-2017","Suspensions","Percent","5.9"
"Bozrah School District","","2009-2010","Suspensions","Percent","-9999"
"Bozrah School District","","2010-2011","Suspensions","Percent","-6666"
"Bozrah School District","","2011-2012","Suspensions","Percent","-9999"
"Bozrah School District","","2012-2013","Suspensions","Percent","2.4"
"Bozrah School District","","2013-2014","Suspensions","Percent","2.8"
"Bozrah School District","","2014-2015","Suspensions","Percent","-9999"
"Bozrah School District","","2015-2016","Suspensions","Percent","-9999"
"Bozrah School District","","2016-2017","Suspensions","Percent","-9999"
"Branford School District","900907310","2009-2010","Suspensions","Percent","7.2"
"Branford School District","900907310","2010-2011","Suspensions","Percent","6.9"
"Branford School District","900907310","2011-2012","Suspensions","Percent","6.0"
"Branford School District","900907310","2012-2013","Suspensions","Percent","4.8"
"Branford School District","900907310","2013-2014","Suspensions","Percent","6.0"
"Branford School District","900907310","2014-2015","Suspensions","Percent","5.1"
"Branford School District","900907310","2015-2016","Suspensions","Percent","5.8"
"Branford School District","900907310","2016-2017","Suspensions","Percent","5.4"
"Brass City Charter School District","","2009-2010","Suspensions","Percent","-6666"
"Brass City Charter School District","","2010-2011","Suspensions","Percent","-6666"
"Brass City Charter School District","","2011-2012","Suspensions","Percent","-6666"
"Brass City Charter School District","","2012-2013","Suspensions","Percent","-6666"
"Brass City Charter School District","","2013-2014","Suspensions","Percent","-6666"
"Brass City Charter School District","","2014-2015","Suspensions","Percent","4.7"
"Brass City Charter School District","","2015-2016","Suspensions","Percent","4.3"
"Brass City Charter School District","","2016-2017","Suspensions","Percent","-9999"
"Bridgeport School District","900108070","2009-2010","Suspensions","Percent","17.1"
"Bridgeport School District","900108070","2010-2011","Suspensions","Percent","17.6"
"Bridgeport School District","900108070","2011-2012","Suspensions","Percent","18.3"
"Bridgeport School District","900108070","2012-2013","Suspensions","Percent","16.7"
"Bridgeport School District","900108070","2013-2014","Suspensions","Percent","15.9"
"Bridgeport School District","900108070","2014-2015","Suspensions","Percent","15.8"
"Bridgeport School District","900108070","2015-2016","Suspensions","Percent","15.4"
"Bridgeport School District","900108070","2016-2017","Suspensions","Percent","14.8"
"Bristol School District","900308490","2009-2010","Suspensions","Percent","7.1"
"Bristol School District","900308490","2010-2011","Suspensions","Percent","9.1"
"Bristol School District","900308490","2011-2012","Suspensions","Percent","8.5"
"Bristol School District","900308490","2012-2013","Suspensions","Percent","8.5"
"Bristol School District","900308490","2013-2014","Suspensions","Percent","8.8"
"Bristol School District","900308490","2014-2015","Suspensions","Percent","8.4"
"Bristol School District","900308490","2015-2016","Suspensions","Percent","8.3"
"Bristol School District","900308490","2016-2017","Suspensions","Percent","7.6"
"Brookfield School District","900108980","2009-2010","Suspensions","Percent","1.8"
"Brookfield School District","900108980","2010-2011","Suspensions","Percent","2.1"
"Brookfield School District","900108980","2011-2012","Suspensions","Percent","3.2"
"Brookfield School District","900108980","2012-2013","Suspensions","Percent","2.8"
"Brookfield School District","900108980","2013-2014","Suspensions","Percent","2.6"
"Brookfield School District","900108980","2014-2015","Suspensions","Percent","3.1"
"Brookfield School District","900108980","2015-2016","Suspensions","Percent","3.1"
"Brookfield School District","900108980","2016-2017","Suspensions","Percent","3.6"
"Brooklyn School District","","2009-2010","Suspensions","Percent","4.8"
"Brooklyn School District","","2010-2011","Suspensions","Percent","5.4"
"Brooklyn School District","","2011-2012","Suspensions","Percent","7.3"
"Brooklyn School District","","2012-2013","Suspensions","Percent","4.8"
"Brooklyn School District","","2013-2014","Suspensions","Percent","5.2"
"Brooklyn School District","","2014-2015","Suspensions","Percent","3.9"
"Brooklyn School District","","2015-2016","Suspensions","Percent","6.5"
"Brooklyn School District","","2016-2017","Suspensions","Percent","5.1"
"Canaan School District","","2009-2010","Suspensions","Percent","-6666"
"Canaan School District","","2010-2011","Suspensions","Percent","-6666"
"Canaan School District","","2011-2012","Suspensions","Percent","-6666"
"Canaan School District","","2012-2013","Suspensions","Percent","-9999"
"Canaan School District","","2013-2014","Suspensions","Percent","-9999"
"Canaan School District","","2014-2015","Suspensions","Percent","-6666"
"Canaan School District","","2015-2016","Suspensions","Percent","-9999"
"Canaan School District","","2016-2017","Suspensions","Percent","-9999"
"Canterbury School District","","2009-2010","Suspensions","Percent","5.4"
"Canterbury School District","","2010-2011","Suspensions","Percent","4.7"
"Canterbury School District","","2011-2012","Suspensions","Percent","4.8"
"Canterbury School District","","2012-2013","Suspensions","Percent","3.8"
"Canterbury School District","","2013-2014","Suspensions","Percent","4.2"
"Canterbury School District","","2014-2015","Suspensions","Percent","2.9"
"Canterbury School District","","2015-2016","Suspensions","Percent","2.2"
"Canterbury School District","","2016-2017","Suspensions","Percent","3.6"
"Canton School District","900312270","2009-2010","Suspensions","Percent","2.5"
"Canton School District","900312270","2010-2011","Suspensions","Percent","1.7"
"Canton School District","900312270","2011-2012","Suspensions","Percent","2.8"
"Canton School District","900312270","2012-2013","Suspensions","Percent","1.8"
"Canton School District","900312270","2013-2014","Suspensions","Percent","1.1"
"Canton School District","900312270","2014-2015","Suspensions","Percent","1.3"
"Canton School District","900312270","2015-2016","Suspensions","Percent","2.6"
"Canton School District","900312270","2016-2017","Suspensions","Percent","2.6"
"Capital Preparatory Harbor School Inc. District","","2009-2010","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Suspensions","Percent","23.3"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Suspensions","Percent","26.1"
"Capitol Region Education Council","","2009-2010","Suspensions","Percent","12.2"
"Capitol Region Education Council","","2010-2011","Suspensions","Percent","10.2"
"Capitol Region Education Council","","2011-2012","Suspensions","Percent","5.7"
"Capitol Region Education Council","","2012-2013","Suspensions","Percent","8.8"
"Capitol Region Education Council","","2013-2014","Suspensions","Percent","8.8"
"Capitol Region Education Council","","2014-2015","Suspensions","Percent","8.2"
"Capitol Region Education Council","","2015-2016","Suspensions","Percent","10.1"
"Capitol Region Education Council","","2016-2017","Suspensions","Percent","9.8"
"Chaplin School District","","2009-2010","Suspensions","Percent","-6666"
"Chaplin School District","","2010-2011","Suspensions","Percent","-9999"
"Chaplin School District","","2011-2012","Suspensions","Percent","-9999"
"Chaplin School District","","2012-2013","Suspensions","Percent","-9999"
"Chaplin School District","","2013-2014","Suspensions","Percent","-9999"
"Chaplin School District","","2014-2015","Suspensions","Percent","-6666"
"Chaplin School District","","2015-2016","Suspensions","Percent","-9999"
"Chaplin School District","","2016-2017","Suspensions","Percent","-9999"
"Charter School for Young Children on Asylum Hill","","2009-2010","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2010-2011","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2011-2012","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2012-2013","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2013-2014","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2014-2015","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2015-2016","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2016-2017","Suspensions","Percent","-6666"
"Cheshire School District","900914160","2009-2010","Suspensions","Percent","3.0"
"Cheshire School District","900914160","2010-2011","Suspensions","Percent","2.5"
"Cheshire School District","900914160","2011-2012","Suspensions","Percent","2.7"
