"District","FIPS","Year","Variable","Measure Type","Value"
"Cheshire School District","900914160","2012-2013","Suspensions","Percent","2.6"
"Cheshire School District","900914160","2013-2014","Suspensions","Percent","2.6"
"Cheshire School District","900914160","2014-2015","Suspensions","Percent","3.1"
"Cheshire School District","900914160","2015-2016","Suspensions","Percent","3.2"
"Cheshire School District","900914160","2016-2017","Suspensions","Percent","3.1"
"Chester School District","","2009-2010","Suspensions","Percent","-9999"
"Chester School District","","2010-2011","Suspensions","Percent","-9999"
"Chester School District","","2011-2012","Suspensions","Percent","-9999"
"Chester School District","","2012-2013","Suspensions","Percent","-9999"
"Chester School District","","2013-2014","Suspensions","Percent","-9999"
"Chester School District","","2014-2015","Suspensions","Percent","-9999"
"Chester School District","","2015-2016","Suspensions","Percent","-6666"
"Chester School District","","2016-2017","Suspensions","Percent","-9999"
"Clinton School District","900715350","2009-2010","Suspensions","Percent","6.3"
"Clinton School District","900715350","2010-2011","Suspensions","Percent","5.9"
"Clinton School District","900715350","2011-2012","Suspensions","Percent","6.1"
"Clinton School District","900715350","2012-2013","Suspensions","Percent","5.6"
"Clinton School District","900715350","2013-2014","Suspensions","Percent","5.2"
"Clinton School District","900715350","2014-2015","Suspensions","Percent","4.3"
"Clinton School District","900715350","2015-2016","Suspensions","Percent","3.3"
"Clinton School District","900715350","2016-2017","Suspensions","Percent","4.0"
"Colchester School District","901115910","2009-2010","Suspensions","Percent","5.8"
"Colchester School District","901115910","2010-2011","Suspensions","Percent","4.9"
"Colchester School District","901115910","2011-2012","Suspensions","Percent","4.3"
"Colchester School District","901115910","2012-2013","Suspensions","Percent","4.2"
"Colchester School District","901115910","2013-2014","Suspensions","Percent","4.2"
"Colchester School District","901115910","2014-2015","Suspensions","Percent","4.3"
"Colchester School District","901115910","2015-2016","Suspensions","Percent","3.9"
"Colchester School District","901115910","2016-2017","Suspensions","Percent","3.8"
"Colebrook School District","","2009-2010","Suspensions","Percent","-6666"
"Colebrook School District","","2010-2011","Suspensions","Percent","-9999"
"Colebrook School District","","2011-2012","Suspensions","Percent","-6666"
"Colebrook School District","","2012-2013","Suspensions","Percent","-9999"
"Colebrook School District","","2013-2014","Suspensions","Percent","-9999"
"Colebrook School District","","2014-2015","Suspensions","Percent","-9999"
"Colebrook School District","","2015-2016","Suspensions","Percent","-9999"
"Colebrook School District","","2016-2017","Suspensions","Percent","-9999"
"Columbia School District","","2009-2010","Suspensions","Percent","2.5"
"Columbia School District","","2010-2011","Suspensions","Percent","2.2"
"Columbia School District","","2011-2012","Suspensions","Percent","2.8"
"Columbia School District","","2012-2013","Suspensions","Percent","-9999"
"Columbia School District","","2013-2014","Suspensions","Percent","-9999"
"Columbia School District","","2014-2015","Suspensions","Percent","5.0"
"Columbia School District","","2015-2016","Suspensions","Percent","2.4"
"Columbia School District","","2016-2017","Suspensions","Percent","3.8"
"Common Ground High School District","","2009-2010","Suspensions","Percent","12.4"
"Common Ground High School District","","2010-2011","Suspensions","Percent","9.1"
"Common Ground High School District","","2011-2012","Suspensions","Percent","11.9"
"Common Ground High School District","","2012-2013","Suspensions","Percent","3.6"
"Common Ground High School District","","2013-2014","Suspensions","Percent","9.1"
"Common Ground High School District","","2014-2015","Suspensions","Percent","8.7"
"Common Ground High School District","","2015-2016","Suspensions","Percent","7.4"
"Common Ground High School District","","2016-2017","Suspensions","Percent","8.9"
"Connecticut","9","2009-2010","Suspensions","Percent","8.9"
"Connecticut","9","2010-2011","Suspensions","Percent","8.5"
"Connecticut","9","2011-2012","Suspensions","Percent","8.5"
"Connecticut","9","2012-2013","Suspensions","Percent","7.8"
"Connecticut","9","2013-2014","Suspensions","Percent","7.4"
"Connecticut","9","2014-2015","Suspensions","Percent","7.2"
"Connecticut","9","2015-2016","Suspensions","Percent","7.0"
"Connecticut","9","2016-2017","Suspensions","Percent","6.7"
"Connecticut Technical High School System","","2009-2010","Suspensions","Percent","25.8"
"Connecticut Technical High School System","","2010-2011","Suspensions","Percent","24.4"
"Connecticut Technical High School System","","2011-2012","Suspensions","Percent","25.8"
"Connecticut Technical High School System","","2012-2013","Suspensions","Percent","19.8"
"Connecticut Technical High School System","","2013-2014","Suspensions","Percent","16.2"
"Connecticut Technical High School System","","2014-2015","Suspensions","Percent","15.6"
"Connecticut Technical High School System","","2015-2016","Suspensions","Percent","14.6"
"Connecticut Technical High School System","","2016-2017","Suspensions","Percent","13.1"
"Cooperative Educational Services","","2009-2010","Suspensions","Percent","9.8"
"Cooperative Educational Services","","2010-2011","Suspensions","Percent","8.9"
"Cooperative Educational Services","","2011-2012","Suspensions","Percent","7.2"
"Cooperative Educational Services","","2012-2013","Suspensions","Percent","5.8"
"Cooperative Educational Services","","2013-2014","Suspensions","Percent","4.6"
"Cooperative Educational Services","","2014-2015","Suspensions","Percent","6.8"
"Cooperative Educational Services","","2015-2016","Suspensions","Percent","5.6"
"Cooperative Educational Services","","2016-2017","Suspensions","Percent","5.1"
"Cornwall School District","","2009-2010","Suspensions","Percent","-6666"
"Cornwall School District","","2010-2011","Suspensions","Percent","-9999"
"Cornwall School District","","2011-2012","Suspensions","Percent","-6666"
"Cornwall School District","","2012-2013","Suspensions","Percent","-6666"
"Cornwall School District","","2013-2014","Suspensions","Percent","-6666"
"Cornwall School District","","2014-2015","Suspensions","Percent","-9999"
"Cornwall School District","","2015-2016","Suspensions","Percent","-9999"
"Cornwall School District","","2016-2017","Suspensions","Percent","-9999"
"Coventry School District","","2009-2010","Suspensions","Percent","9.7"
"Coventry School District","","2010-2011","Suspensions","Percent","10.1"
"Coventry School District","","2011-2012","Suspensions","Percent","5.8"
"Coventry School District","","2012-2013","Suspensions","Percent","4.5"
"Coventry School District","","2013-2014","Suspensions","Percent","4.4"
"Coventry School District","","2014-2015","Suspensions","Percent","3.6"
"Coventry School District","","2015-2016","Suspensions","Percent","2.8"
"Coventry School District","","2016-2017","Suspensions","Percent","1.8"
"Cromwell School District","","2009-2010","Suspensions","Percent","8.7"
"Cromwell School District","","2010-2011","Suspensions","Percent","9.2"
"Cromwell School District","","2011-2012","Suspensions","Percent","9.2"
"Cromwell School District","","2012-2013","Suspensions","Percent","7.3"
"Cromwell School District","","2013-2014","Suspensions","Percent","7.0"
"Cromwell School District","","2014-2015","Suspensions","Percent","6.9"
"Cromwell School District","","2015-2016","Suspensions","Percent","6.5"
"Cromwell School District","","2016-2017","Suspensions","Percent","5.8"
"Danbury School District","900118500","2009-2010","Suspensions","Percent","10.0"
"Danbury School District","900118500","2010-2011","Suspensions","Percent","10.5"
"Danbury School District","900118500","2011-2012","Suspensions","Percent","9.9"
"Danbury School District","900118500","2012-2013","Suspensions","Percent","10.1"
"Danbury School District","900118500","2013-2014","Suspensions","Percent","8.5"
"Danbury School District","900118500","2014-2015","Suspensions","Percent","9.9"
"Danbury School District","900118500","2015-2016","Suspensions","Percent","7.2"
"Danbury School District","900118500","2016-2017","Suspensions","Percent","8.4"
"Darien School District","900118850","2009-2010","Suspensions","Percent","1.1"
"Darien School District","900118850","2010-2011","Suspensions","Percent","1.2"
"Darien School District","900118850","2011-2012","Suspensions","Percent","1.0"
"Darien School District","900118850","2012-2013","Suspensions","Percent","0.7"
"Darien School District","900118850","2013-2014","Suspensions","Percent","1.4"
"Darien School District","900118850","2014-2015","Suspensions","Percent","1.0"
"Darien School District","900118850","2015-2016","Suspensions","Percent","0.7"
"Darien School District","900118850","2016-2017","Suspensions","Percent","1.1"
"Deep River School District","","2009-2010","Suspensions","Percent","-9999"
"Deep River School District","","2010-2011","Suspensions","Percent","-9999"
"Deep River School District","","2011-2012","Suspensions","Percent","-9999"
"Deep River School District","","2012-2013","Suspensions","Percent","-9999"
"Deep River School District","","2013-2014","Suspensions","Percent","-9999"
"Deep River School District","","2014-2015","Suspensions","Percent","-9999"
"Deep River School District","","2015-2016","Suspensions","Percent","2.9"
"Deep River School District","","2016-2017","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2009-2010","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2010-2011","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2011-2012","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2012-2013","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2013-2014","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2014-2015","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2015-2016","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2016-2017","Suspensions","Percent","-9999"
"Derby School District","900919550","2009-2010","Suspensions","Percent","15.4"
"Derby School District","900919550","2010-2011","Suspensions","Percent","10.6"
"Derby School District","900919550","2011-2012","Suspensions","Percent","8.5"
"Derby School District","900919550","2012-2013","Suspensions","Percent","10.6"
"Derby School District","900919550","2013-2014","Suspensions","Percent","12.0"
"Derby School District","900919550","2014-2015","Suspensions","Percent","12.8"
"Derby School District","900919550","2015-2016","Suspensions","Percent","10.8"
"Derby School District","900919550","2016-2017","Suspensions","Percent","11.4"
"Eastern Connecticut Regional Educational Services","","2009-2010","Suspensions","Percent","15.7"
"Eastern Connecticut Regional Educational Services","","2010-2011","Suspensions","Percent","10.0"
"Eastern Connecticut Regional Educational Services","","2011-2012","Suspensions","Percent","8.8"
"Eastern Connecticut Regional Educational Services","","2012-2013","Suspensions","Percent","10.2"
"Eastern Connecticut Regional Educational Services","","2013-2014","Suspensions","Percent","-6666"
"Eastern Connecticut Regional Educational Services","","2014-2015","Suspensions","Percent","15.6"
"Eastern Connecticut Regional Educational Services","","2015-2016","Suspensions","Percent","13.4"
"Eastern Connecticut Regional Educational Services","","2016-2017","Suspensions","Percent","11.7"
"Eastford School District","","2009-2010","Suspensions","Percent","-9999"
"Eastford School District","","2010-2011","Suspensions","Percent","-9999"
"Eastford School District","","2011-2012","Suspensions","Percent","3.4"
"Eastford School District","","2012-2013","Suspensions","Percent","-9999"
"Eastford School District","","2013-2014","Suspensions","Percent","4.6"
"Eastford School District","","2014-2015","Suspensions","Percent","-9999"
"Eastford School District","","2015-2016","Suspensions","Percent","-9999"
"Eastford School District","","2016-2017","Suspensions","Percent","5.3"
"East Granby School District","900322070","2009-2010","Suspensions","Percent","4.5"
"East Granby School District","900322070","2010-2011","Suspensions","Percent","4.0"
"East Granby School District","900322070","2011-2012","Suspensions","Percent","2.9"
"East Granby School District","900322070","2012-2013","Suspensions","Percent","3.3"
"East Granby School District","900322070","2013-2014","Suspensions","Percent","3.7"
"East Granby School District","900322070","2014-2015","Suspensions","Percent","4.2"
"East Granby School District","900322070","2015-2016","Suspensions","Percent","6.6"
"East Granby School District","900322070","2016-2017","Suspensions","Percent","4.6"
"East Haddam School District","","2009-2010","Suspensions","Percent","3.1"
"East Haddam School District","","2010-2011","Suspensions","Percent","2.9"
"East Haddam School District","","2011-2012","Suspensions","Percent","3.7"
"East Haddam School District","","2012-2013","Suspensions","Percent","-6666"
"East Haddam School District","","2013-2014","Suspensions","Percent","-6666"
"East Haddam School District","","2014-2015","Suspensions","Percent","2.4"
"East Haddam School District","","2015-2016","Suspensions","Percent","2.1"
"East Haddam School District","","2016-2017","Suspensions","Percent","4.0"
"East Hampton School District","900722490","2009-2010","Suspensions","Percent","3.5"
"East Hampton School District","900722490","2010-2011","Suspensions","Percent","3.4"
"East Hampton School District","900722490","2011-2012","Suspensions","Percent","3.8"
"East Hampton School District","900722490","2012-2013","Suspensions","Percent","3.0"
"East Hampton School District","900722490","2013-2014","Suspensions","Percent","3.8"
"East Hampton School District","900722490","2014-2015","Suspensions","Percent","2.4"
"East Hampton School District","900722490","2015-2016","Suspensions","Percent","3.3"
"East Hampton School District","900722490","2016-2017","Suspensions","Percent","3.1"
"East Hartford School District","900322630","2009-2010","Suspensions","Percent","20.7"
"East Hartford School District","900322630","2010-2011","Suspensions","Percent","21.3"
"East Hartford School District","900322630","2011-2012","Suspensions","Percent","21.9"
"East Hartford School District","900322630","2012-2013","Suspensions","Percent","17.7"
"East Hartford School District","900322630","2013-2014","Suspensions","Percent","17.0"
"East Hartford School District","900322630","2014-2015","Suspensions","Percent","15.9"
