"District","District Code","Count","%"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",255,9.7
"Ashford School District","=""0030011""",12,2.5
"Avon School District","=""0040011""",54,1.5
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",214,6.8
"Bethany School District","=""0080011""",6,1.2
"Bethel School District","=""0090011""",180,6.0
"Bloomfield School District","=""0110011""",276,12.4
"Bolton School District","=""0120011""",31,3.4
"Bozrah School District","=""0130011""","N/A","N/A"
"Branford School District","=""0140011""",241,6.9
"Bridgeport School District","=""0150011""",3607,17.6
"Bristol School District","=""0170011""",790,9.1
"Brookfield School District","=""0180011""",62,2.1
"Brooklyn School District","=""0190011""",53,5.4
"Canaan School District","=""0210011""","N/A","N/A"
"Canterbury School District","=""0220011""",26,4.7
"Canton School District","=""0230011""",30,1.7
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",121,2.5
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",122,5.9
"Colchester School District","=""0280011""",152,4.9
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",12,2.2
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",191,10.1
"Cromwell School District","=""0330011""",188,9.2
"Danbury School District","=""0340011""",1125,10.5
"Darien School District","=""0350011""",58,1.2
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",159,10.6
"Eastford School District","=""0390011""","*","*"
"East Granby School District","=""0400011""",36,4.0
"East Haddam School District","=""0410011""",39,2.9
"East Hampton School District","=""0420011""",68,3.4
"East Hartford School District","=""0430011""",1559,21.3
"East Haven School District","=""0440011""",415,11.9
"East Lyme School District","=""0450011""",101,3.3
"Easton School District","=""0460011""",12,1.1
"East Windsor School District","=""0470011""",171,12.8
"Ellington School District","=""0480011""",160,5.8
"Enfield School District","=""0490011""",525,8.8
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",241,2.4
"Farmington School District","=""0520011""",107,2.6
"Franklin School District","=""0530011""","N/A","N/A"
"Glastonbury School District","=""0540011""",136,2.0
"Granby School District","=""0560011""",64,2.8
"Greenwich School District","=""0570011""",257,2.9
"Griswold School District","=""0580011""",236,11.5
"Groton School District","=""0590011""",398,8.0
"Guilford School District","=""0600011""",103,2.8
"Hamden School District","=""0620011""",768,12.6
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",3712,17.3
"Hartland School District","=""0650011""","N/A","N/A"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","N/A","N/A"
"Killingly School District","=""0690011""",297,10.9
"Lebanon School District","=""0710011""",87,6.2
"Ledyard School District","=""0720011""",94,3.5
"Lisbon School District","=""0730011""",21,4.0
"Litchfield School District","=""0740011""",58,5.0
"Madison School District","=""0760011""",94,2.6
"Manchester School District","=""0770011""",653,9.6
"Mansfield School District","=""0780011""",23,1.7
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",1544,18.2
"Middletown School District","=""0830011""",476,9.1
"Milford School District","=""0840011""",226,3.2
"Monroe School District","=""0850011""",86,2.3
"Montville School District","=""0860011""",223,8.2
"Naugatuck School District","=""0880011""",539,11.6
"New Britain School District","=""0890011""",1115,10.9
"New Canaan School District","=""0900011""",48,1.2
"New Fairfield School District","=""0910011""",136,4.6
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",1982,9.9
"Newington School District","=""0940011""",267,6.0
"New London School District","=""0950011""",669,21.4
"New Milford School District","=""0960011""",308,6.4
"Newtown School District","=""0970011""",174,3.2
"Norfolk School District","=""0980011""","N/A","N/A"
"North Branford School District","=""0990011""",224,9.8
"North Canaan School District","=""1000011""",8,2.5
"North Haven School District","=""1010011""",157,4.3
"North Stonington School District","=""1020011""",62,7.7
"Norwalk School District","=""1030011""",1008,9.0
"Norwich School District","=""1040011""",416,10.6
"Old Saybrook School District","=""1060011""",68,4.2
"Orange School District","=""1070011""",10,0.8
"Oxford School District","=""1080011""",46,2.1
"Plainfield School District","=""1090011""",216,8.2
"Plainville School District","=""1100011""",146,5.8
"Plymouth School District","=""1110011""",121,6.9
"Pomfret School District","=""1120011""",6,1.2
"Portland School District","=""1130011""",59,4.1
"Preston School District","=""1140011""",11,2.5
"Putnam School District","=""1160011""",142,11.3
"Redding School District","=""1170011""",16,1.3
"Ridgefield School District","=""1180011""",86,1.6
"Rocky Hill School District","=""1190011""",97,3.7
"Salem School District","=""1210011""",12,2.6
"Salisbury School District","=""1220011""",9,2.9
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",227,9.4
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",331,6.2
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",164,3.4
"Somers School District","=""1290011""",67,4.1
"Southington School District","=""1310011""",284,4.2
"South Windsor School District","=""1320011""",247,5.4
"Sprague School District","=""1330011""",22,5.8
"Stafford School District","=""1340011""",198,10.8
"Stamford School District","=""1350011""",631,4.1
"Sterling School District","=""1360011""",31,6.3
"Stonington School District","=""1370011""",152,6.1
"Stratford School District","=""1380011""",629,8.5
"Suffield School District","=""1390011""",148,5.8
"Thomaston School District","=""1400011""",88,7.7
"Thompson School District","=""1410011""",86,6.7
"Tolland School District","=""1420011""",140,4.5
"Torrington School District","=""1430011""",452,9.7
"Trumbull School District","=""1440011""",129,1.8
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",330,9.1
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",459,6.9
"Waterbury School District","=""1510011""",4045,22.1
"Waterford School District","=""1520011""",221,7.8
"Watertown School District","=""1530011""",278,8.7
"Westbrook School District","=""1540011""",71,7.3
"West Hartford School District","=""1550011""",496,4.8
"West Haven School District","=""1560011""",717,11.4
"Weston School District","=""1570011""",24,0.9
"Westport School District","=""1580011""",112,1.9
"Wethersfield School District","=""1590011""",136,3.6
"Willington School District","=""1600011""",23,4.4
"Wilton School District","=""1610011""",80,1.8
"Winchester School District","=""1620011""",39,4.0
"Windham School District","=""1630011""",579,17.1
"Windsor School District","=""1640011""",542,14.7
"Windsor Locks School District","=""1650011""",133,7.4
"Wolcott School District","=""1660011""",147,5.3
"Woodbridge School District","=""1670011""","*","*"
