"District","District Code","Count","%"
"Woodstock School District","=""1690011""",12,1.3
"Regional School District 01","=""2010012""",43,8.4
"Regional School District 04","=""2040012""",59,6.0
"Regional School District 05","=""2050012""",125,5.0
"Regional School District 06","=""2060012""",75,7.0
"Regional School District 07","=""2070012""",73,6.3
"Regional School District 08","=""2080012""",179,10.1
"Regional School District 09","=""2090012""",10,1.0
"Regional School District 10","=""2100012""",129,4.6
"Regional School District 11","=""2110012""",38,13.4
"Regional School District 12","=""2120012""",64,6.8
"Regional School District 13","=""2130012""",31,1.5
"Regional School District 14","=""2140012""",90,4.3
"Regional School District 15","=""2150012""",141,3.2
"Regional School District 16","=""2160012""",146,5.7
"Regional School District 17","=""2170012""",129,5.2
"Regional School District 18","=""2180012""",40,2.7
"Regional School District 19","=""2190012""",94,7.9
"Capitol Region Education Council","=""2410014""",464,10.2
"Education Connection","=""2420014""","*","*"
"Cooperative Educational Services","=""2430014""",72,8.9
"Area Cooperative Educational Services","=""2440014""",334,16.4
"Learn","=""2450014""",36,2.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",29,10.0
"Jumoke Academy District","=""2610013""",29,6.8
"Odyssey Community School District","=""2630013""",14,7.8
"Integrated Day Charter School District","=""2640013""",11,3.3
"Interdistrict School for Arts and Comm District","=""2650013""",24,13.4
"Common Ground High School District","=""2680013""",14,9.1
"The Bridge Academy District","=""2690013""",66,25.0
"Side By Side Charter School District","=""2700013""",21,9.1
"Explorations District","=""2720013""",33,41.3
"Trailblazers Academy District","=""2780013""",6,3.6
"Amistad Academy District","=""2790013""",167,21.0
"New Beginnings Inc., Family Academy District","=""2800013""",67,19.0
"Stamford Academy District","=""2820013""",24,21.2
"Park City Prep Charter School District","=""2830013""",58,23.5
"Bridgeport Achievement First District","=""2850013""",153,38.8
"Highville Charter School District","=""2860013""","N/A","N/A"
"Charter School for Young Children on Asylum Hill District","=""2870013""","N/A","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""",192,31.8
"Elm City College Preparatory School District","=""2890013""",138,24.0
"Unified School District #1","=""3360015""","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Unified School District #2","=""3470015""",73,23.8
"Connecticut Technical High School System","=""9000016""",2552,24.4
"Norwich Free Academy District","=""9010022""",327,14.0
"The Gilbert School District","=""9020022""",50,15.2
"Woodstock Academy District","=""9030022""",69,6.2

