"District","District Code","Count","%"
"Eastford School District","=""0390011""",7,4.6
"East Granby School District","=""0400011""",32,3.7
"East Haddam School District","=""0410011""","N/A","N/A"
"East Hampton School District","=""0420011""",71,3.8
"East Hartford School District","=""0430011""",1228,17.0
"East Haven School District","=""0440011""",230,7.3
"East Lyme School District","=""0450011""",80,2.8
"Easton School District","=""0460011""",21,2.2
"East Windsor School District","=""0470011""",133,11.0
"Ellington School District","=""0480011""",120,4.5
"Enfield School District","=""0490011""",454,8.6
"Essex School District","=""0500011""",6,1.2
"Fairfield School District","=""0510011""",206,2.0
"Farmington School District","=""0520011""",79,1.9
"Franklin School District","=""0530011""",8,4.3
"Glastonbury School District","=""0540011""",128,2.0
"Granby School District","=""0560011""",48,2.3
"Greenwich School District","=""0570011""",111,1.3
"Griswold School District","=""0580011""",165,8.3
"Groton School District","=""0590011""",317,6.8
"Guilford School District","=""0600011""",83,2.3
"Hamden School District","=""0620011""",571,9.7
"Hampton School District","=""0630011""","N/A","N/A"
"Hartford School District","=""0640011""",3785,17.3
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","N/A","N/A"
"Killingly School District","=""0690011""",249,9.4
"Lebanon School District","=""0710011""",14,1.2
"Ledyard School District","=""0720011""",115,4.5
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""",44,4.4
"Madison School District","=""0760011""",43,1.3
"Manchester School District","=""0770011""",629,9.9
"Mansfield School District","=""0780011""",22,1.7
"Marlborough School District","=""0790011""",6,1.0
"Meriden School District","=""0800011""",876,10.7
"Middletown School District","=""0830011""",335,6.9
"Milford School District","=""0840011""",332,5.1
"Monroe School District","=""0850011""",48,1.4
"Montville School District","=""0860011""",115,4.7
"Naugatuck School District","=""0880011""",376,8.6
"New Britain School District","=""0890011""",2009,19.7
"New Canaan School District","=""0900011""",27,0.6
"New Fairfield School District","=""0910011""",89,3.2
"New Hartford School District","=""0920011""",7,1.3
"New Haven School District","=""0930011""",1615,7.5
"Newington School District","=""0940011""",275,6.4
"New London School District","=""0950011""",617,19.5
"New Milford School District","=""0960011""",249,5.5
"Newtown School District","=""0970011""",102,2.1
"Norfolk School District","=""0980011""","N/A","N/A"
"North Branford School District","=""0990011""",114,5.6
"North Canaan School District","=""1000011""",8,2.7
"North Haven School District","=""1010011""",102,3.0
"North Stonington School District","=""1020011""",32,4.2
"Norwalk School District","=""1030011""",704,6.2
"Norwich School District","=""1040011""",286,7.5
"Old Saybrook School District","=""1060011""",34,2.3
"Orange School District","=""1070011""",16,1.3
"Oxford School District","=""1080011""",43,2.1
"Plainfield School District","=""1090011""",174,7.1
"Plainville School District","=""1100011""",89,3.8
"Plymouth School District","=""1110011""",59,3.7
"Pomfret School District","=""1120011""",6,1.4
"Portland School District","=""1130011""",52,3.8
"Preston School District","=""1140011""",12,2.8
"Putnam School District","=""1160011""",89,7.0
"Redding School District","=""1170011""",26,2.4
"Ridgefield School District","=""1180011""",63,1.2
"Rocky Hill School District","=""1190011""",46,1.9
"Salem School District","=""1210011""",9,2.1
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""",9,6.6
"Seymour School District","=""1240011""",216,9.3
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",275,5.5
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",74,1.7
"Somers School District","=""1290011""",49,3.2
"Southington School District","=""1310011""",207,3.1
"South Windsor School District","=""1320011""",151,3.5
"Sprague School District","=""1330011""",30,7.8
"Stafford School District","=""1340011""",94,5.7
"Stamford School District","=""1350011""",492,3.1
"Sterling School District","=""1360011""",34,7.1
"Stonington School District","=""1370011""",147,6.3
"Stratford School District","=""1380011""",460,6.3
"Suffield School District","=""1390011""",79,3.2
"Thomaston School District","=""1400011""",53,5.6
"Thompson School District","=""1410011""",67,6.3
"Tolland School District","=""1420011""",83,3.0
