"",,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",288,38.2,392,48.1,256,29.9,271,29.4,243,23.8
"Amistad Academy District","=""2790013""",200,23.7,329,36.6,335,36.2,311,31.9,285,27.9
"Andover School District","=""0010011""","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",240,9.3,223,9.1,195,8.3,176,7.1,199,8.2
"Area Cooperative Educational Services","=""2440014""",302,15.2,282,14.3,272,13.6,260,13.0,256,12.8
"Ashford School District","=""0030011""",12,2.5,17,3.9,10,2.3,20,4.8,14,3.5
"Avon School District","=""0040011""",63,1.8,78,2.3,70,2.1,58,1.7,60,1.8
"Barkhamsted School District","=""0050011""","*","*","*","*","*","*","*","*","N/A","N/A"
"Berlin School District","=""0070011""",164,5.4,110,3.7,106,3.6,99,3.4,90,3.1
"Bethany School District","=""0080011""","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",196,6.5,215,7.2,202,6.7,216,7.2,205,6.8
"Bloomfield School District","=""0110011""",280,13.0,264,12.5,290,13.8,233,11.0,276,13.1
"Bolton School District","=""0120011""",24,2.7,27,3.0,26,3.0,40,4.7,35,4.3
"Booker T. Washington Academy District","=""2950013""","N/A","N/A","N/A","N/A","N/A","N/A",13,14.1,23,12.9
"Bozrah School District","=""0130011""","*","*",6,2.4,7,2.8,"*","*","*","*"
"Branford School District","=""0140011""",201,6.0,157,4.8,198,6.0,159,5.1,180,5.8
"Brass City Charter School District","=""2900013""","N/A","N/A","N/A","N/A","N/A","N/A",7,4.7,8,4.3
"Bridgeport Achievement First District","=""2850013""",169,31.9,128,18.7,243,29.6,301,31.2,235,23.6
"Bridgeport School District","=""0150011""",3787,18.3,3456,16.7,3381,15.9,3343,15.8,3327,15.4
"Bristol School District","=""0170011""",720,8.5,711,8.5,732,8.8,698,8.4,686,8.3
"Brookfield School District","=""0180011""",90,3.2,78,2.8,72,2.6,86,3.1,84,3.1
"Brooklyn School District","=""0190011""",68,7.3,46,4.8,48,5.2,36,3.9,59,6.5
"Canaan School District","=""0210011""","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Canterbury School District","=""0220011""",25,4.8,19,3.8,20,4.2,14,2.9,11,2.2
