"District","District Code","Count","%"
"Suffield School District","=""1390011""",190,7.4
"Thomaston School District","=""1400011""",98,8.2
"Thompson School District","=""1410011""",77,5.7
"Tolland School District","=""1420011""",128,4.0
"Torrington School District","=""1430011""",377,8.0
"Trumbull School District","=""1440011""",149,2.1
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",376,10.2
"Voluntown School District","=""1470011""",14,4.4
"Wallingford School District","=""1480011""",492,7.3
"Waterbury School District","=""1510011""",4283,23.3
"Waterford School District","=""1520011""",222,7.7
"Watertown School District","=""1530011""",244,7.4
"Westbrook School District","=""1540011""",66,6.8
"West Hartford School District","=""1550011""",586,5.7
"West Haven School District","=""1560011""",820,12.8
"Weston School District","=""1570011""",43,1.7
"Westport School District","=""1580011""",125,2.2
"Wethersfield School District","=""1590011""",142,3.7
"Willington School District","=""1600011""",25,4.6
"Wilton School District","=""1610011""",51,1.2
"Winchester School District","=""1620011""",42,4.2
"Windham School District","=""1630011""",581,16.6
"Windsor School District","=""1640011""",504,13.1
"Windsor Locks School District","=""1650011""",177,9.6
"Wolcott School District","=""1660011""",147,5.2
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""",21,2.3
"Regional School District 01","=""2010012""",43,8.5
"Regional School District 04","=""2040012""",84,8.5
"Regional School District 05","=""2050012""",138,5.5
"Regional School District 06","=""2060012""",68,6.4
"Regional School District 07","=""2070012""",68,5.8
"Regional School District 08","=""2080012""",151,8.7
"Regional School District 09","=""2090012""",24,2.5
"Regional School District 10","=""2100012""",138,4.8
"Regional School District 11","=""2110012""",52,17.9
"Regional School District 12","=""2120012""",78,8.0
"Regional School District 13","=""2130012""",45,2.1
"Regional School District 14","=""2140012""",89,4.2
"Regional School District 15","=""2150012""",125,2.7
"Regional School District 16","=""2160012""",164,6.3
"Regional School District 17","=""2170012""",124,4.9
"Regional School District 18","=""2180012""",35,2.3
"Regional School District 19","=""2190012""",72,6.0
"Capitol Region Education Council","=""2410014""",473,12.2
"Education Connection","=""2420014""",8,5.5
"Cooperative Educational Services","=""2430014""",78,9.8
"Area Cooperative Educational Services","=""2440014""",419,19.8
"Learn","=""2450014""",21,1.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",31,15.7
"Jumoke Academy District","=""2610013""","N/A","N/A"
