"District","District Code","Count","%"
"Odyssey Community School District","=""2630013""",15,8.7
"Integrated Day Charter School District","=""2640013""","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""",30,16.8
"Common Ground High School District","=""2680013""",19,12.4
"The Bridge Academy District","=""2690013""",94,36.4
"Side By Side Charter School District","=""2700013""",15,6.7
"Explorations District","=""2720013""",10,13.0
"Trailblazers Academy District","=""2780013""","*","*"
"Amistad Academy District","=""2790013""",127,17.8
"New Beginnings Inc., Family Academy District","=""2800013""",64,18.1
"Stamford Academy District","=""2820013""","N/A","N/A"
"Park City Prep Charter School District","=""2830013""",151,63.2
"Bridgeport Achievement First District","=""2850013""",32,14.4
"Highville Charter School District","=""2860013""","N/A","N/A"
"Charter School for Young Children on Asylum Hill District","=""2870013""","N/A","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""",135,31.1
"Elm City College Preparatory School District","=""2890013""",94,17.6
"Unified School District #1","=""3360015""","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Unified School District #2","=""3470015""",75,22.8
"Connecticut Technical High School System","=""9000016""",2666,25.8
"Norwich Free Academy District","=""9010022""",230,9.7
"The Gilbert School District","=""9020022""",59,15.8
"Woodstock Academy District","=""9030022""",84,7.3
"Andover School District","=""0010011""","N/A","N/A"
"Ansonia School District","=""0020011""",280,10.1
"Ashford School District","=""0030011""",9,1.9
"Avon School District","=""0040011""",87,2.4
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",217,6.8
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",219,7.1
"Bloomfield School District","=""0110011""",323,14.0
"Bolton School District","=""0120011""",26,2.9
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",254,7.2
"Bridgeport School District","=""0150011""",3504,17.1
"Bristol School District","=""0170011""",616,7.1
"Brookfield School District","=""0180011""",52,1.8
"Brooklyn School District","=""0190011""",47,4.8
"Canaan School District","=""0210011""","N/A","N/A"
"Canterbury School District","=""0220011""",30,5.4
"Canton School District","=""0230011""",45,2.5
"Chaplin School District","=""0240011""","N/A","N/A"
"Cheshire School District","=""0250011""",149,3.0
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",129,6.3
"Colchester School District","=""0280011""",187,5.8
"Colebrook School District","=""0290011""","N/A","N/A"
"Columbia School District","=""0300011""",14,2.5
"Cornwall School District","=""0310011""","N/A","N/A"
"Coventry School District","=""0320011""",185,9.7
"Cromwell School District","=""0330011""",181,8.7
"Danbury School District","=""0340011""",1065,10.0
"Darien School District","=""0350011""",53,1.1
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",229,15.4
"Eastford School District","=""0390011""","*","*"
"East Granby School District","=""0400011""",41,4.5
"East Haddam School District","=""0410011""",44,3.1
"East Hampton School District","=""0420011""",71,3.5
"East Hartford School District","=""0430011""",1539,20.7
"East Haven School District","=""0440011""",396,11.1
"East Lyme School District","=""0450011""",105,3.4
"Easton School District","=""0460011""",12,1.1
"East Windsor School District","=""0470011""",163,11.7
"Ellington School District","=""0480011""",143,5.3
"Enfield School District","=""0490011""",469,7.6
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",272,2.7
"Farmington School District","=""0520011""",124,2.9
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",151,2.2
"Granby School District","=""0560011""",52,2.2
"Greenwich School District","=""0570011""",228,2.6
"Griswold School District","=""0580011""",248,11.9
"Groton School District","=""0590011""",378,7.7
"Guilford School District","=""0600011""",103,2.7
"Hamden School District","=""0620011""",783,12.9
"Hampton School District","=""0630011""",6,4.3
"Hartford School District","=""0640011""",4595,21.3
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","N/A","N/A"
"Killingly School District","=""0690011""",300,11.0
"Lebanon School District","=""0710011""",71,4.9
"Ledyard School District","=""0720011""",111,4.2
"Lisbon School District","=""0730011""",15,2.7
"Litchfield School District","=""0740011""",58,4.8
"Madison School District","=""0760011""",116,3.1
"Manchester School District","=""0770011""",760,11.0
"Mansfield School District","=""0780011""",23,1.8
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",1641,19.2
"Middletown School District","=""0830011""",558,10.6
"Milford School District","=""0840011""",365,5.0
"Monroe School District","=""0850011""",90,2.3
"Montville School District","=""0860011""",242,8.8
"Naugatuck School District","=""0880011""",501,10.3
"New Britain School District","=""0890011""",1809,17.5
"New Canaan School District","=""0900011""",36,0.9
"New Fairfield School District","=""0910011""",127,4.2
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",2763,13.8
"Newington School District","=""0940011""",276,6.1
"New London School District","=""0950011""",563,18.3
"New Milford School District","=""0960011""",366,7.5
"Newtown School District","=""0970011""",152,2.8
"Norfolk School District","=""0980011""","N/A","N/A"
"North Branford School District","=""0990011""",207,8.8
"North Canaan School District","=""1000011""",9,2.7
"North Haven School District","=""1010011""",106,2.8
"North Stonington School District","=""1020011""",71,8.8
"Norwalk School District","=""1030011""",1022,9.2
"Norwich School District","=""1040011""",353,8.9
"Old Saybrook School District","=""1060011""",63,3.9
"Orange School District","=""1070011""",10,0.8
"Oxford School District","=""1080011""",45,2.1
"Plainfield School District","=""1090011""",225,8.3
"Plainville School District","=""1100011""",123,4.8
"Plymouth School District","=""1110011""",147,8.1
"Pomfret School District","=""1120011""",6,1.1
"Portland School District","=""1130011""",61,4.3
"Preston School District","=""1140011""",20,4.5
"Putnam School District","=""1160011""",155,12.4
"Redding School District","=""1170011""",25,2.0
"Ridgefield School District","=""1180011""",78,1.4
"Rocky Hill School District","=""1190011""",128,4.8
"Salem School District","=""1210011""",10,2.0
"Salisbury School District","=""1220011""",6,1.9
"Scotland School District","=""1230011""",6,3.7
"Seymour School District","=""1240011""",240,9.7
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",293,5.4
"Sherman School District","=""1270011""",14,3.1
"Simsbury School District","=""1280011""",148,3.0
"Somers School District","=""1290011""",76,4.6
"Southington School District","=""1310011""",337,4.9
"South Windsor School District","=""1320011""",211,4.5
"Sprague School District","=""1330011""",15,4.2
"Stafford School District","=""1340011""",254,13.6
"Stamford School District","=""1350011""",592,3.9
"Sterling School District","=""1360011""",30,5.8
"Stonington School District","=""1370011""",129,5.1
"Stratford School District","=""1380011""",672,9.0

