"District","District Code","Count","%"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",223,9.1
"Ashford School District","=""0030011""",17,3.9
"Avon School District","=""0040011""",78,2.3
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",110,3.7
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",215,7.2
"Bloomfield School District","=""0110011""",264,12.5
"Bolton School District","=""0120011""",27,3.0
"Bozrah School District","=""0130011""",6,2.4
"Branford School District","=""0140011""",157,4.8
"Bridgeport School District","=""0150011""",3456,16.7
"Bristol School District","=""0170011""",711,8.5
"Brookfield School District","=""0180011""",78,2.8
"Brooklyn School District","=""0190011""",46,4.8
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",19,3.8
"Canton School District","=""0230011""",32,1.8
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",124,2.6
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",111,5.6
"Colchester School District","=""0280011""",121,4.2
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Cornwall School District","=""0310011""","N/A","N/A"
"Coventry School District","=""0320011""",78,4.5
"Cromwell School District","=""0330011""",145,7.3
"Danbury School District","=""0340011""",1114,10.1
"Darien School District","=""0350011""",36,0.7
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",163,10.6
"Eastford School District","=""0390011""","*","*"
"East Granby School District","=""0400011""",29,3.3
"East Haddam School District","=""0410011""","N/A","N/A"
"East Hampton School District","=""0420011""",57,3.0
"East Hartford School District","=""0430011""",1272,17.7
"East Haven School District","=""0440011""",273,8.5
"East Lyme School District","=""0450011""",89,3.0
"Easton School District","=""0460011""","*","*"
"East Windsor School District","=""0470011""",138,10.9
"Ellington School District","=""0480011""",128,4.6
"Enfield School District","=""0490011""",529,9.7
"Essex School District","=""0500011""",7,1.3
"Fairfield School District","=""0510011""",234,2.3
"Farmington School District","=""0520011""",71,1.7
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",114,1.7
"Granby School District","=""0560011""",40,1.9
"Greenwich School District","=""0570011""",165,1.9
"Griswold School District","=""0580011""",177,8.8
"Groton School District","=""0590011""",367,7.8
"Guilford School District","=""0600011""",95,2.6
"Hamden School District","=""0620011""",630,10.6
"Hampton School District","=""0630011""","N/A","N/A"
"Hartford School District","=""0640011""",3781,17.2
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","N/A","N/A"
"Killingly School District","=""0690011""",291,10.6
"Lebanon School District","=""0710011""",48,3.8
"Ledyard School District","=""0720011""",110,4.2
"Lisbon School District","=""0730011""",15,3.2
"Litchfield School District","=""0740011""",51,4.9
"Madison School District","=""0760011""",86,2.5
"Manchester School District","=""0770011""",629,10.0
"Mansfield School District","=""0780011""",20,1.5
"Marlborough School District","=""0790011""",9,1.4
"Meriden School District","=""0800011""",1108,13.4
"Middletown School District","=""0830011""",412,8.3
"Milford School District","=""0840011""",377,5.6
"Monroe School District","=""0850011""",55,1.6
"Montville School District","=""0860011""",141,5.7
"Naugatuck School District","=""0880011""",375,8.3
"New Britain School District","=""0890011""",1936,18.8
"New Canaan School District","=""0900011""","N/A","N/A"
"New Fairfield School District","=""0910011""",113,4.0
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",1671,7.8
"Newington School District","=""0940011""",257,5.9
"New London School District","=""0950011""",646,20.6
"New Milford School District","=""0960011""",273,5.9
"Newtown School District","=""0970011""",118,2.3
"Norfolk School District","=""0980011""","N/A","N/A"
"North Branford School District","=""0990011""",154,7.3
"North Canaan School District","=""1000011""",6,1.9
"North Haven School District","=""1010011""",143,4.1
"North Stonington School District","=""1020011""",30,3.8
"Norwalk School District","=""1030011""",921,8.2
"Norwich School District","=""1040011""",354,9.1
"Old Saybrook School District","=""1060011""",64,4.2
"Orange School District","=""1070011""",8,0.6
"Oxford School District","=""1080011""",47,2.2
"Plainfield School District","=""1090011""",244,9.8
"Plainville School District","=""1100011""",111,4.7
"Plymouth School District","=""1110011""",78,4.7
"Pomfret School District","=""1120011""",8,1.7
"Portland School District","=""1130011""",57,4.1
"Preston School District","=""1140011""",14,3.3
"Putnam School District","=""1160011""",115,8.8
"Redding School District","=""1170011""",29,2.6
"Ridgefield School District","=""1180011""",66,1.2
"Rocky Hill School District","=""1190011""",70,2.8
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""",9,2.9
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",183,7.9
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",304,5.9
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",89,1.9
"Somers School District","=""1290011""",62,3.9
"Southington School District","=""1310011""",250,3.7
"South Windsor School District","=""1320011""",146,3.4
"Sprague School District","=""1330011""",29,7.9
"Stafford School District","=""1340011""",121,7.0
"Stamford School District","=""1350011""",458,2.9
"Sterling School District","=""1360011""","N/A","N/A"
"Stonington School District","=""1370011""",153,6.4
"Stratford School District","=""1380011""",588,8.0
"Suffield School District","=""1390011""",91,3.7
"Thomaston School District","=""1400011""",50,5.0
"Thompson School District","=""1410011""",79,6.7
"Tolland School District","=""1420011""",111,3.9
"Torrington School District","=""1430011""",420,9.4
"Trumbull School District","=""1440011""",118,1.7
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",304,8.7
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",386,6.1
"Waterbury School District","=""1510011""",3693,19.7
"Waterford School District","=""1520011""",137,5.2
"Watertown School District","=""1530011""",244,8.0
"Westbrook School District","=""1540011""",47,5.3
"West Hartford School District","=""1550011""",311,3.1
"West Haven School District","=""1560011""",611,10.0
"Weston School District","=""1570011""",51,2.1
"Westport School District","=""1580011""",41,0.7
"Wethersfield School District","=""1590011""",135,3.6
"Willington School District","=""1600011""",14,2.9
"Wilton School District","=""1610011""",45,1.0
"Winchester School District","=""1620011""",38,5.6
"Windham School District","=""1630011""",530,16.4
"Windsor School District","=""1640011""",426,12.4
"Windsor Locks School District","=""1650011""",144,8.2
"Wolcott School District","=""1660011""",114,4.4
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""",19,2.1
"Regional School District 01","=""2010012""",48,11.4
"Regional School District 04","=""2040012""",53,5.4
"Regional School District 05","=""2050012""",73,3.1
"Regional School District 06","=""2060012""",61,6.0
"Regional School District 07","=""2070012""",50,4.4
"Regional School District 08","=""2080012""",128,7.2
"Regional School District 09","=""2090012""",12,1.2
"Regional School District 10","=""2100012""",99,3.7
"Regional School District 11","=""2110012""",38,12.9
"Regional School District 12","=""2120012""",32,3.7
"Regional School District 13","=""2130012""",39,2.0
"Regional School District 14","=""2140012""",57,2.9
"Regional School District 15","=""2150012""",109,2.7
"Regional School District 16","=""2160012""",96,3.9
"Regional School District 17","=""2170012""",91,3.9
"Regional School District 18","=""2180012""",16,1.1
"Regional School District 19","=""2190012""",78,6.4
"Capitol Region Education Council","=""2410014""",541,8.8
"Education Connection","=""2420014""",7,5.8
"Cooperative Educational Services","=""2430014""",50,5.8
"Area Cooperative Educational Services","=""2440014""",282,14.3
"Learn","=""2450014""",115,6.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",35,10.2
"Jumoke Academy District","=""2610013""",42,7.2
"Odyssey Community School District","=""2630013""",10,3.1
"Integrated Day Charter School District","=""2640013""",7,2.2
"Interdistrict School for Arts and Comm District","=""2650013""",32,17.2
"Common Ground High School District","=""2680013""",6,3.6
"The Bridge Academy District","=""2690013""",64,24.0
"Side By Side Charter School District","=""2700013""",11,4.8
"Explorations District","=""2720013""",19,23.2
"Trailblazers Academy District","=""2780013""",7,4.1
"Amistad Academy District","=""2790013""",329,36.6
"New Beginnings Inc., Family Academy District","=""2800013""",89,22.7
"Stamford Academy District","=""2820013""",36,23.7
"Park City Prep Charter School District","=""2830013""",35,14.3
