"District","District Code","Count","%"
"Bridgeport Achievement First District","=""2850013""",128,18.7
"Highville Charter School District","=""2860013""",7,2.1
"Achievement First Hartford Academy Inc. District","=""2880013""",392,48.1
"Elm City College Preparatory School District","=""2890013""",159,26.9
"Unified School District #1","=""3360015""","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Unified School District #2","=""3470015""",73,27.4
"Connecticut Technical High School System","=""9000016""",2078,19.8
"Norwich Free Academy District","=""9010022""",391,17.3
"The Gilbert School District","=""9020022""",120,24.3
"Woodstock Academy District","=""9030022""",60,5.7

